user,session,timepress,timerelease,keycode,keyname
3,15,2699,2746,103,numpad_7
3,15,2824,2855,103,numpad_7
3,15,3042,3136,102,numpad_6
3,15,3229,3292,97,numpad_1
3,15,3510,3557,10,enter
3,16,0,46,105,numpad_9
3,16,187,249,97,numpad_1
3,16,421,499,100,numpad_4
3,16,982,1029,97,numpad_1
3,16,1263,1326,105,numpad_9
3,16,1513,1575,99,numpad_3
3,16,2043,2090,103,numpad_7
3,16,2168,2199,103,numpad_7
3,16,2433,2496,102,numpad_6
3,16,2652,2698,97,numpad_1
3,16,3198,3260,10,enter
3,17,0,62,105,numpad_9
3,17,249,312,97,numpad_1
3,17,515,593,100,numpad_4
3,17,1061,1123,97,numpad_1
3,17,1310,1388,105,numpad_9
3,17,1622,1669,99,numpad_3
3,17,2558,2605,103,numpad_7
3,17,2683,2714,103,numpad_7
3,17,2948,3011,102,numpad_6
3,17,3135,3198,97,numpad_1
3,17,3650,3713,10,enter
3,18,0,78,105,numpad_9
3,18,250,328,97,numpad_1
3,18,515,593,100,numpad_4
3,18,905,968,97,numpad_1
3,18,1139,1217,105,numpad_9
3,18,1389,1467,99,numpad_3
3,18,1982,2029,103,numpad_7
3,18,2107,2153,103,numpad_7
3,18,2309,2372,102,numpad_6
3,18,2497,2559,97,numpad_1
3,18,2965,3011,10,enter
3,19,0,78,105,numpad_9
3,19,328,374,97,numpad_1
3,19,515,608,100,numpad_4
3,19,1451,1482,97,numpad_1
3,19,1669,1732,105,numpad_9
3,19,1950,2012,99,numpad_3
3,19,2434,2496,103,numpad_7
3,19,2605,2668,103,numpad_7
3,19,2933,2995,102,numpad_6
3,19,3136,3214,97,numpad_1
3,19,3635,3666,10,enter
4,0,0,62,105,numpad_9
4,0,234,327,97,numpad_1
4,0,452,530,100,numpad_4
4,0,1357,1435,97,numpad_1
4,0,1560,1622,105,numpad_9
4,0,1965,2043,99,numpad_3
4,0,2652,2714,103,numpad_7
4,0,2823,2886,103,numpad_7
4,0,3089,3167,102,numpad_6
4,0,3276,3338,97,numpad_1
4,0,3744,3869,10,enter
4,1,0,62,105,numpad_9
4,1,187,265,97,numpad_1
4,1,374,437,100,numpad_4
4,1,1388,1451,97,numpad_1
4,1,1560,1638,105,numpad_9
4,1,2075,2137,99,numpad_3
4,1,3089,3136,103,numpad_7
4,1,3229,3292,103,numpad_7
4,1,3619,3713,102,numpad_6
4,1,3806,3884,97,numpad_1
4,1,4462,4540,10,enter
4,2,0,94,105,numpad_9
4,2,234,328,97,numpad_1
4,2,437,531,100,numpad_4
4,2,1264,1373,97,numpad_1
4,2,1482,1545,105,numpad_9
4,2,1794,1872,99,numpad_3
4,2,2372,2418,103,numpad_7
4,2,2528,2590,103,numpad_7
4,2,2762,2840,102,numpad_6
4,2,2964,3042,97,numpad_1
4,2,3464,3588,10,enter
4,3,0,78,105,numpad_9
4,3,203,281,97,numpad_1
4,3,406,499,100,numpad_4
4,3,1232,1326,97,numpad_1
4,3,1420,1498,105,numpad_9
4,3,1685,1763,99,numpad_3
4,3,2699,2746,103,numpad_7
4,3,2855,2917,103,numpad_7
4,3,3292,3354,102,numpad_6
4,3,3448,3541,97,numpad_1
4,3,4056,4134,10,enter
4,4,0,78,105,numpad_9
4,4,218,296,97,numpad_1
4,4,421,468,100,numpad_4
4,4,1232,1341,97,numpad_1
4,4,1451,1513,105,numpad_9
4,4,1919,1997,99,numpad_3
4,4,2496,2558,103,numpad_7
4,4,2636,2699,103,numpad_7
4,4,2948,3026,102,numpad_6
4,4,3135,3213,97,numpad_1
4,4,3401,3494,10,enter
4,5,0,94,105,numpad_9
4,5,219,312,97,numpad_1
4,5,422,515,100,numpad_4
4,5,656,749,97,numpad_1
4,5,858,983,105,numpad_9
4,5,1342,1451,99,numpad_3
4,5,1685,1748,103,numpad_7
4,5,1826,1888,103,numpad_7
4,5,2060,2200,102,numpad_6
4,5,2574,2637,97,numpad_1
4,5,3448,3495,10,enter
4,6,0,78,105,numpad_9
4,6,171,281,97,numpad_1
4,6,405,483,100,numpad_4
4,6,1248,1326,97,numpad_1
4,6,1404,1482,105,numpad_9
4,6,1965,2043,99,numpad_3
4,6,2605,2667,103,numpad_7
4,6,2777,2839,103,numpad_7
4,6,3104,3182,102,numpad_6
4,6,3276,3369,97,numpad_1
4,6,3510,3635,10,enter
4,7,0,63,105,numpad_9
4,7,187,281,97,numpad_1
4,7,406,515,100,numpad_4
4,7,1077,1155,97,numpad_1
4,7,1248,1342,105,numpad_9
4,7,1747,1857,99,numpad_3
4,7,2590,2637,103,numpad_7
4,7,2761,2808,103,numpad_7
4,7,3183,3245,102,numpad_6
4,7,3354,3432,97,numpad_1
4,7,3869,3978,10,enter
4,8,0,110,105,numpad_9
4,8,827,905,97,numpad_1
4,8,1030,1108,100,numpad_4
4,8,1794,1919,97,numpad_1
4,8,1997,2075,105,numpad_9
4,8,2465,2574,99,numpad_3
4,8,3136,3183,103,numpad_7
4,8,3292,3354,103,numpad_7
4,8,3885,3978,102,numpad_6
4,8,4056,4150,97,numpad_1
4,8,4571,4680,10,enter
4,9,0,62,105,numpad_9
4,9,187,265,97,numpad_1
4,9,390,483,100,numpad_4
4,9,1154,1232,97,numpad_1
4,9,1341,1419,105,numpad_9
4,9,1762,1856,99,numpad_3
4,9,2964,3026,103,numpad_7
4,9,3135,3198,103,numpad_7
4,9,3432,3525,102,numpad_6
4,9,3619,3681,97,numpad_1
4,9,4071,4180,10,enter
4,10,0,63,105,numpad_9
4,10,203,297,97,numpad_1
4,10,421,484,100,numpad_4
4,10,2138,2231,97,numpad_1
4,10,2325,2418,105,numpad_9
4,10,2840,2933,99,numpad_3
4,10,3682,3744,103,numpad_7
4,10,3838,3900,103,numpad_7
4,10,4259,4322,102,numpad_6
4,10,4431,4493,97,numpad_1
4,10,4868,4961,10,enter
4,11,0,78,105,numpad_9
4,11,203,297,97,numpad_1
4,11,437,500,100,numpad_4
4,11,1420,1514,97,numpad_1
4,11,1623,1701,105,numpad_9
4,11,2153,2200,99,numpad_3
4,11,2824,2886,103,numpad_7
4,11,2964,3027,103,numpad_7
4,11,3261,3308,102,numpad_6
4,11,3417,3510,97,numpad_1
4,11,3916,4041,10,enter
4,12,0,78,105,numpad_9
4,12,202,280,97,numpad_1
4,12,421,468,100,numpad_4
4,12,1154,1232,97,numpad_1
