user,session,keyname,timepress,timerelease,pressure,tool_major,x,x_acceleration,x_rotation,y,y_acceleration,y_rotation,z_acceleration,z_rotation
0,5,6,4616,4674,0.49375,123.022,882.0,-2.2090300000000003,0.243335,1429.5,8.260855,0.494263,4.546295000000001,0.6251639999999999
0,5,1,4922,4972,0.6312500000000001,171.077,251.0,-1.8571149999999998,0.2426855,1273.5,9.211915000000001,0.4626625,2.670245,0.627876
0,5,enter,5789,5856,0.5750000000000001,123.022,913.0,-2.3880850000000002,0.274084,1717.0,7.936249999999999,0.409846,4.180070000000001,0.562233
0,6,9,0,66,0.5750000000000001,123.022,892.0,0.05036929999999999,0.2828655,1576.0,5.989265,0.18095100000000003,7.321055,0.5142214999999999
0,6,1,276,326,0.50625,123.022,155.0,-0.14056400000000002,0.285438,1274.0,5.9175699999999996,0.184885,7.08017,0.515572
0,6,4,511,569,0.5875,123.022,157.0,-0.050354010000000005,0.28594200000000003,1427.0,6.06938,0.187155,7.327429999999999,0.5138020000000001
0,6,1,1407,1498,0.625,155.059,163.0,0.028129585000000002,0.282524,1241.0,5.99376,0.1852275,7.731070000000001,0.5154785
0,6,9,1608,1674,0.5625,123.022,920.0,-0.022827149999999997,0.2823725,1586.0,5.943955,0.18450850000000002,7.211644999999999,0.5168995000000001
0,6,3,2579,2645,0.5750000000000001,123.022,928.0,-0.12173500000000001,0.28380500000000003,1214.0,6.06886,0.185751,7.226310000000002,0.5136700000000001
0,6,7,3625,3700,0.6125,139.0405,196.5,-0.07978045,0.284059,1582.0,6.080055,0.18649749999999998,7.457205,0.514917
0,6,7,3801,3876,0.59375,139.0405,206.5,-0.040046705,0.28338,1580.0,6.03604,0.1866525,7.210995000000001,0.514057
0,6,6,3977,4052,0.5875,123.022,901.0,-0.09941084,0.282073,1417.0,6.0260299999999996,0.18771400000000002,7.2621649999999995,0.514057
0,6,1,4153,4228,0.625,155.059,164.0,0.10247785000000001,0.280552,1267.0,6.071485,0.187884,7.3923950000000005,0.513458
0,6,enter,4638,4713,0.5875,123.022,905.0,0.007873550000000002,0.287505,1669.0,5.977385,0.181915,7.341475,0.5082530000000001
0,7,9,0,99,0.5875,123.022,894.0,-0.176338,0.313306,1578.0,6.2296,0.164846,7.1639,0.41474300000000003
0,7,1,402,476,0.5687500000000001,139.0405,217.0,-0.24579600000000001,0.311735,1238.0,6.1773299999999995,0.16878800000000002,7.49451,0.418347
0,7,4,1515,1573,0.5625,123.022,185.0,-0.1355745,0.304302,1411.0,6.16102,0.16686299999999998,7.2081800000000005,0.435775
