user,session,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,14,625.0,610.0,1094.0,406.0,390.0,1594.0,375.0,438.0,422.0,453.0,79.0,94.0,94.0,78.0,78.0,63.0,78.0,47.0,62.0,46.0,62.0
0,15,453.0,375.0,344.0,437.0,391.0,437.0,344.0,359.0,422.0,422.0,94.0,109.0,109.0,125.0,125.0,109.0,94.0,94.0,94.0,78.0,110.0
0,16,454.0,406.0,359.0,391.0,359.0,375.0,360.0,359.0,391.0,437.0,79.0,93.0,94.0,78.0,78.0,78.0,94.0,62.0,62.0,78.0,94.0
0,17,547.0,406.0,360.0,390.0,422.0,422.0,359.0,360.0,406.0,422.0,78.0,47.0,63.0,47.0,78.0,47.0,63.0,63.0,47.0,63.0,62.0
0,18,500.0,391.0,375.0,406.0,360.0,468.0,344.0,375.0,422.0,438.0,110.0,125.0,125.0,94.0,94.0,78.0,63.0,78.0,78.0,78.0,78.0
0,19,531.0,437.0,360.0,406.0,359.0,422.0,360.0,359.0,375.0,438.0,109.0,109.0,94.0,78.0,94.0,79.0,63.0,62.0,63.0,94.0,109.0
1,0,281.0,250.0,249.0,250.0,281.0,249.0,219.0,1014.0,265.0,218.0,140.0,109.0,109.0,156.0,171.0,140.0,94.0,124.0,140.0,125.0,141.0
1,1,281.0,265.0,234.0,234.0,203.0,187.0,265.0,187.0,266.0,249.0,156.0,125.0,109.0,187.0,156.0,140.0,140.0,187.0,203.0,202.0,141.0
1,2,250.0,234.0,265.0,421.0,375.0,670.0,328.0,593.0,249.0,266.0,156.0,109.0,140.0,140.0,219.0,265.0,141.0,125.0,140.0,156.0,124.0
1,3,234.0,234.0,280.0,219.0,327.0,297.0,218.0,187.0,250.0,250.0,140.0,140.0,156.0,125.0,203.0,125.0,93.0,141.0,188.0,172.0,140.0
1,4,265.0,265.0,234.0,265.0,250.0,265.0,219.0,234.0,234.0,249.0,156.0,125.0,109.0,141.0,172.0,140.0,94.0,171.0,140.0,156.0,141.0
1,5,249.0,234.0,281.0,328.0,265.0,296.0,250.0,234.0,265.0,250.0,124.0,125.0,141.0,94.0,187.0,187.0,94.0,140.0,171.0,156.0,156.0
1,6,234.0,250.0,218.0,250.0,327.0,421.0,234.0,266.0,390.0,249.0,125.0,125.0,78.0,156.0,156.0,281.0,110.0,125.0,109.0,140.0,125.0
1,7,249.0,281.0,250.0,280.0,390.0,468.0,250.0,296.0,359.0,281.0,140.0,125.0,109.0,140.0,156.0,266.0,156.0,172.0,125.0,172.0,109.0
1,8,421.0,328.0,203.0,530.0,234.0,608.0,203.0,515.0,281.0,281.0,140.0,219.0,156.0,140.0,156.0,343.0,78.0,172.0,125.0,156.0,124.0
1,9,218.0,250.0,234.0,218.0,250.0,202.0,250.0,234.0,250.0,218.0,109.0,125.0,109.0,140.0,187.0,124.0,172.0,172.0,156.0,156.0,125.0
1,10,655.0,265.0,484.0,561.0,375.0,374.0,219.0,608.0,390.0,312.0,125.0,172.0,141.0,140.0,172.0,140.0,109.0,140.0,125.0,94.0,140.0
1,11,328.0,234.0,218.0,234.0,281.0,842.0,297.0,234.0,280.0,219.0,125.0,109.0,78.0,156.0,140.0,109.0,219.0,202.0,171.0,141.0,140.0
