user,session,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,10,323.0,238.0,985.0,476.0,289.0,934.0,179.0,314.0,297.0,798.0,59.0,59.0,76.0,59.0,84.0,42.0,76.0,50.0,84.0,67.0,68.0
0,11,416.0,315.0,459.0,288.0,221.0,425.0,187.0,247.0,153.0,739.0,76.0,93.0,76.0,84.0,76.0,76.0,67.0,50.0,50.0,33.0,93.0
0,12,285.0,184.0,788.0,234.0,235.0,637.0,218.0,335.0,544.0,955.0,75.0,58.0,75.0,75.0,67.0,66.0,108.0,66.0,74.0,92.0,75.0
0,13,315.0,221.0,391.0,569.0,229.0,697.0,204.0,289.0,280.0,501.0,68.0,67.0,67.0,75.0,76.0,59.0,84.0,50.0,59.0,68.0,76.0
0,14,332.0,196.0,1113.0,518.0,246.0,1054.0,179.0,271.0,289.0,748.0,59.0,50.0,75.0,58.0,76.0,51.0,84.0,58.0,59.0,59.0,76.0
0,15,306.0,204.0,314.0,586.0,213.0,697.0,170.0,246.0,264.0,526.0,67.0,58.0,75.0,67.0,59.0,59.0,75.0,58.0,59.0,50.0,76.0
0,16,276.0,193.0,1013.0,427.0,654.0,1356.0,210.0,393.0,218.0,720.0,100.0,58.0,66.0,83.0,67.0,74.0,92.0,58.0,67.0,83.0,83.0
0,17,425.0,213.0,1810.0,467.0,280.0,1071.0,170.0,332.0,314.0,816.0,59.0,67.0,75.0,50.0,84.0,42.0,85.0,68.0,59.0,42.0,76.0
0,18,277.0,276.0,904.0,302.0,335.0,712.0,201.0,402.0,217.0,3210.0,75.0,74.0,83.0,84.0,49.0,58.0,66.0,49.0,66.0,83.0,72.0
0,19,276.0,251.0,1014.0,603.0,285.0,913.0,192.0,218.0,176.0,536.0,74.0,66.0,84.0,58.0,83.0,74.0,83.0,75.0,67.0,66.0,83.0
1,0,196.0,306.0,926.0,161.0,213.0,399.0,187.0,119.0,136.0,705.0,84.0,84.0,58.0,50.0,76.0,75.0,67.0,50.0,67.0,76.0,68.0
1,1,221.0,298.0,891.0,128.0,263.0,663.0,178.0,136.0,162.0,696.0,93.0,67.0,75.0,85.0,76.0,76.0,59.0,59.0,59.0,59.0,51.0
1,2,162.0,221.0,2276.0,790.0,230.0,943.0,187.0,161.0,153.0,272.0,67.0,50.0,67.0,34.0,59.0,76.0,67.0,59.0,59.0,51.0,59.0
1,3,187.0,255.0,289.0,382.0,221.0,280.0,153.0,162.0,144.0,179.0,59.0,76.0,67.0,84.0,59.0,67.0,34.0,68.0,50.0,59.0,25.0
1,4,391.0,280.0,476.0,170.0,212.0,204.0,187.0,145.0,178.0,255.0,59.0,67.0,67.0,67.0,67.0,59.0,59.0,76.0,59.0,85.0,68.0
1,5,774.0,288.0,264.0,195.0,663.0,272.0,170.0,195.0,213.0,484.0,17.0,92.0,85.0,59.0,68.0,76.0,16.0,76.0,59.0,75.0,59.0
1,6,144.0,281.0,934.0,213.0,246.0,391.0,162.0,543.0,255.0,519.0,93.0,85.0,58.0,59.0,67.0,68.0,42.0,50.0,42.0,59.0,41.0
1,7,221.0,1572.0,901.0,136.0,212.0,391.0,187.0,128.0,136.0,195.0,76.0,76.0,59.0,59.0,76.0,76.0,67.0,68.0,58.0,67.0,34.0
1,8,221.0,2388.0,238.0,365.0,221.0,781.0,170.0,136.0,289.0,807.0,59.0,101.0,58.0,67.0,76.0,84.0,59.0,68.0,59.0,76.0,76.0
1,9,212.0,331.0,961.0,662.0,417.0,577.0,221.0,1309.0,229.0,1037.0,75.0,67.0,59.0,84.0,84.0,67.0,51.0,76.0,84.0,68.0,68.0
1,10,162.0,314.0,264.0,187.0,263.0,187.0,178.0,179.0,221.0,212.0,76.0,84.0,93.0,92.0,109.0,67.0,76.0,85.0,84.0,76.0,93.0
1,11,213.0,722.0,340.0,179.0,221.0,280.0,170.0,153.0,170.0,297.0,93.0,84.0,59.0,76.0,67.0,75.0,84.0,76.0,59.0,67.0,76.0
1,12,459.0,382.0,663.0,195.0,238.0,612.0,196.0,144.0,162.0,994.0,50.0,101.0,110.0,84.0,76.0,76.0,84.0,75.0,76.0,75.0,67.0
1,13,196.0,263.0,399.0,306.0,255.0,340.0,196.0,178.0,204.0,332.0,59.0,75.0,84.0,93.0,85.0,93.0,42.0,59.0,85.0,76.0,67.0
